67,1,4
67,14,4
67,22,3
67,46,5
67,89,4
67,106,5
67,144,3
67,155,3
67,168,4
67,214,3
67,230,4
67,236,5
67,244,3
67,250,2
67,256,4
67,258,5
67,270,3
67,295,3
67,302,3
67,318,5
67,335,4
67,342,2
67,400,2
67,403,3
67,406,2
67,410,3
67,443,2
67,445,4
67,455,4
67,477,4
67,480,4
67,486,5
67,490,3
67,495,3
67,496,4
67,501,2
67,549,2
67,550,3
67,594,4
67,600,4
67,611,4
67,638,2
67,648,4
67,661,5
67,663,4
67,668,4
67,669,4
67,674,4
67,686,4
67,702,5
67,705,5
67,719,3
67,741,3
67,778,5
67,792,3
67,794,3
67,850,4
67,925,2
67,966,4
67,969,4
67,978,4
67,992,3
114,1,3
114,8,5
114,31,1
114,34,3
114,37,5
114,44,5
114,48,3
114,60,5
114,61,4
114,89,5
114,100,3
114,126,5
114,127,3
114,135,3
114,151,5
114,165,5
114,214,1
114,227,4
114,232,5
114,240,5
114,250,3
114,251,1
114,256,5
114,269,5
114,295,4
114,296,5
114,297,5
114,300,5
114,302,5
114,312,5
114,313,4
114,317,5
114,322,3
114,331,3
114,352,5
114,365,5
114,377,5
114,387,5
114,397,3
114,398,3
114,408,3
114,411,5
114,414,4
114,425,5
114,426,5
114,433,4
114,446,5
114,450,5
114,457,4
114,479,5
114,483,4
114,484,5
114,488,2
114,492,5
114,494,5
114,495,5
114,497,5
114,517,5
114,525,3
114,533,4
114,577,5
114,581,5
114,586,5
114,594,5
114,595,4
114,596,4
114,599,4
114,616,4
114,645,3
114,648,4
114,649,4
114,657,5
114,661,4
114,666,4
114,675,4
114,679,5
114,683,4
114,689,4
114,694,5
114,698,5
114,703,2
114,706,5
114,761,3
114,778,3
114,791,5
114,802,4
114,805,5
114,815,5
114,848,4
114,853,3
114,876,5
114,883,4
114,892,5
114,902,5
114,915,5
114,925,5
114,942,5
114,966,3
114,967,3
114,982,3
1254,1,3
1254,6,5
1254,8,3
1254,10,3
1254,23,4
1254,32,4
1254,37,5
1254,60,5
1254,61,3
1254,90,3
1254,148,5
1254,156,5
1254,161,5
1254,169,4
1254,178,4
1254,181,2
1254,182,1
1254,198,5
1254,204,1
1254,206,5
1254,216,5
1254,241,4
1254,250,2
1254,257,5
1254,295,5
1254,301,4
1254,304,5
1254,306,3
1254,318,3
1254,322,5
1254,340,3
1254,354,4
1254,370,4
1254,410,5
1254,412,3
1254,416,4
1254,417,4
1254,434,3
1254,439,4
1254,476,4
1254,492,4
1254,495,4
1254,501,5
1254,547,3
1254,550,3
1254,576,3
1254,581,4
1254,583,5
1254,585,3
1254,598,4
1254,599,4
1254,612,4
1254,615,4
1254,620,3
1254,623,5
1254,628,5
1254,631,4
1254,638,4
1254,640,3
1254,643,3
1254,647,3
1254,648,4
1254,661,5
1254,663,4
1254,668,5
1254,681,5
1254,685,3
1254,737,3
1254,766,4
1254,769,4
1254,778,2
1254,779,3
1254,794,5
1254,867,3
1254,876,5
1254,898,4
1254,913,3
1254,934,4
1254,978,5
1254,982,4
1254,995,4
1407,1,4
1407,4,1
1407,9,1
1407,14,5
1407,117,3
1407,133,1
1407,135,1
1407,140,1
1407,164,4
1407,197,1
1407,198,5
1407,216,1
1407,289,1
1407,311,5
1407,317,4
1407,318,4
1407,322,4
1407,338,4
1407,348,5
1407,351,5
1407,367,4
1407,370,4
1407,421,5
1407,423,5
1407,426,4
1407,429,4
1407,434,4
1407,447,3
1407,459,5
1407,471,3
1407,477,5
1407,494,3
1407,499,4
1407,518,5
1407,522,3
1407,525,4
1407,533,4
1407,583,4
1407,591,4
1407,594,5
1407,595,4
1407,608,5
1407,612,4
1407,632,4
1407,644,5
1407,668,4
1407,684,5
1407,685,5
1407,689,4
1407,691,4
1407,720,1
1407,723,1
1407,726,1
1407,737,1
1407,740,1
1407,748,1
1407,753,1
1407,754,5
1407,776,4
1407,778,4
1407,779,2
1407,805,1
1407,839,4
